frame_idx,ms,Pelvis_x,Pelvis_y,Pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,RightUpperArm_x,RightUpperArm_y,RightUpperArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,RightHand_x,RightHand_y,RightHand_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,LeftUpperArm_x,LeftUpperArm_y,LeftUpperArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,RightUpperLeg_x,RightUpperLeg_y,RightUpperLeg_z,RightLowerLeg_x,RightLowerLeg_y,RightLowerLeg_z,RightFoot_x,RightFoot_y,RightFoot_z,RightToe_x,RightToe_y,RightToe_z,LeftUpperLeg_x,LeftUpperLeg_y,LeftUpperLeg_z,LeftLowerLeg_x,LeftLowerLeg_y,LeftLowerLeg_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,LeftToe_x,LeftToe_y,LeftToe_z
2006,1575718892243,0.075849,0.086068,0.929186,0.073965,0.086447,1.029779,0.081309,0.08738,1.140782,0.076636,0.087049,1.242235,0.070816,0.086461,1.343514,0.075736,0.0869,1.484383,0.101102,0.091452,1.585579,0.076754,0.057061,1.422364,0.084448,-0.080204,1.404595,0.122459,-0.132625,1.11991,0.142583,-0.098548,0.882961,0.070365,0.116341,1.422406,0.049964,0.252532,1.406516,0.072418,0.288947,1.117714,0.106608,0.26026,0.881666,0.082214,0.004289,0.929511,0.053544,-0.002437,0.50241,0.025271,-0.0086,0.085359,0.180403,0.014504,0.020031,0.069489,0.167848,0.928633,0.031405,0.162281,0.502251,0.004691,0.157208,0.085082,0.159132,0.180837,0.01832
2007,1575718892247,0.07581,0.08611,0.92918,0.073918,0.086489,1.029773,0.081252,0.087421,1.140776,0.07657,0.087086,1.242228,0.070741,0.086493,1.343507,0.075648,0.086927,1.484377,0.101022,0.091486,1.58557,0.076677,0.057091,1.42235,0.084453,-0.080163,1.404532,0.12337,-0.133354,1.120113,0.143474,-0.098849,0.883225,0.070275,0.11637,1.422395,0.049888,0.252558,1.406461,0.072878,0.28961,1.117784,0.107099,0.260555,0.881786,0.082181,0.004331,0.929506,0.053548,-0.002411,0.502403,0.025267,-0.008598,0.085353,0.180402,0.014503,0.020029,0.069443,0.167889,0.928625,0.031395,0.162296,0.502241,0.00469,0.157211,0.085072,0.159132,0.180839,0.01831
2008,1575718892251,0.075769,0.086153,0.929173,0.073869,0.086533,1.029766,0.081193,0.087464,1.14077,0.076501,0.087124,1.242222,0.070662,0.086525,1.3435,0.075555,0.086951,1.48437,0.100939,0.091516,1.585561,0.076597,0.05712,1.422336,0.084458,-0.080123,1.404464,0.124302,-0.134089,1.120319,0.144399,-0.099137,0.883496,0.070183,0.116397,1.422383,0.049812,0.252583,1.406407,0.073373,0.290292,1.11786,0.107615,0.260857,0.881911,0.082147,0.004374,0.929501,0.053551,-0.002385,0.502396,0.025264,-0.008596,0.085347,0.180401,0.014503,0.020027,0.069397,0.167931,0.928617,0.031385,0.16231,0.50223,0.00469,0.157214,0.085061,0.159132,0.18084,0.0183
2009,1575718892256,0.075726,0.086196,0.929167,0.073818,0.086578,1.02976,0.081131,0.087507,1.140764,0.076429,0.087163,1.242216,0.070581,0.086556,1.343493,0.075458,0.086972,1.484364,0.100853,0.091543,1.585552,0.076512,0.057146,1.422322,0.084465,-0.080083,1.404393,0.125254,-0.13483,1.12053,0.14536,-0.099417,0.883776,0.070088,0.116423,1.422373,0.049737,0.252607,1.406355,0.073901,0.290994,1.117944,0.108159,0.26117,0.882045,0.082109,0.004418,0.929497,0.053555,-0.002359,0.502389,0.02526,-0.008593,0.085341,0.180399,0.014504,0.020026,0.069348,0.167974,0.928609,0.031373,0.162325,0.502219,0.004689,0.157217,0.085049,0.159132,0.180841,0.01829
2010,1575718892260,0.075682,0.08624,0.929161,0.073765,0.086624,1.029753,0.081067,0.087551,1.140758,0.076356,0.087202,1.242209,0.070496,0.086587,1.343486,0.075359,0.086992,1.484357,0.100765,0.091567,1.585542,0.076424,0.057172,1.422307,0.084472,-0.080045,1.40432,0.126226,-0.13558,1.120747,0.146358,-0.099693,0.884066,0.069991,0.116448,1.422363,0.049662,0.252631,1.406306,0.074456,0.291718,1.118039,0.108734,0.261498,0.882192,0.082071,0.004462,0.929493,0.053558,-0.002333,0.502383,0.025257,-0.008591,0.085336,0.180398,0.014504,0.020024,0.069298,0.168018,0.928601,0.031361,0.16234,0.502208,0.004688,0.157219,0.085038,0.159132,0.180843,0.01828
2011,1575718892264,0.075635,0.086285,0.929155,0.07371,0.086671,1.029747,0.081001,0.087596,1.140753,0.076279,0.08724,1.242204,0.070409,0.086617,1.34348,0.075257,0.087009,1.484352,0.100674,0.091588,1.585533,0.076334,0.057195,1.422293,0.084479,-0.080008,1.404247,0.127216,-0.136338,1.120974,0.147395,-0.09997,0.88437,0.069891,0.116472,1.422353,0.049586,0.252654,1.406262,0.075036,0.292465,1.118146,0.109343,0.261843,0.882355,0.08203,0.004507,0.92949,0.053561,-0.002307,0.502378,0.025253,-0.008588,0.085331,0.180396,0.014505,0.020024,0.069246,0.168061,0.928592,0.031348,0.162355,0.502196,0.004687,0.157222,0.085026,0.159132,0.180845,0.01827
2012,1575718892268,0.075587,0.086329,0.929149,0.073652,0.086718,1.029742,0.080932,0.08764,1.140748,0.0762,0.087278,1.242198,0.07032,0.086646,1.343474,0.075152,0.087025,1.484346,0.100582,0.091607,1.585525,0.076241,0.057218,1.422279,0.084487,-0.079972,1.404176,0.128223,-0.137105,1.121213,0.148474,-0.100254,0.88469,0.06979,0.116494,1.422345,0.049507,0.252677,1.406223,0.075637,0.293237,1.118268,0.10999,0.262208,0.882536,0.081988,0.004552,0.929488,0.053563,-0.00228,0.502372,0.02525,-0.008585,0.085327,0.180394,0.014506,0.020023,0.069192,0.168105,0.928584,0.031334,0.162371,0.502185,0.004685,0.157225,0.085014,0.159131,0.180847,0.018261
2013,1575718892272,0.075537,0.086373,0.929145,0.073592,0.086764,1.029737,0.080861,0.087683,1.140744,0.076118,0.087315,1.242194,0.070228,0.086674,1.343468,0.075046,0.087039,1.484342,0.100489,0.091625,1.585517,0.076145,0.057239,1.422267,0.084495,-0.079938,1.404108,0.129245,-0.137883,1.121467,0.149594,-0.100548,0.885027,0.069686,0.116515,1.422337,0.049426,0.252698,1.406191,0.076255,0.294035,1.118408,0.110676,0.262597,0.882739,0.081945,0.004597,0.929486,0.053563,-0.002253,0.502368,0.025247,-0.008582,0.085323,0.180393,0.014508,0.020023,0.069134,0.168149,0.928577,0.03132,0.162386,0.502175,0.004685,0.157228,0.085003,0.159131,0.18085,0.018252
2014,1575718892276,0.075485,0.086417,0.929141,0.073529,0.086809,1.029733,0.080787,0.087725,1.140741,0.076034,0.087351,1.24219,0.070134,0.0867,1.343464,0.074938,0.087052,1.484338,0.100395,0.091642,1.585509,0.076048,0.05726,1.422256,0.084503,-0.079904,1.404045,0.130283,-0.138672,1.121738,0.150759,-0.100858,0.885384,0.06958,0.116535,1.422331,0.049342,0.25272,1.406167,0.076887,0.294863,1.118567,0.111405,0.263014,0.882968,0.081901,0.004641,0.929484,0.053562,-0.002225,0.502364,0.025243,-0.008578,0.08532,0.180391,0.014509,0.020023,0.069075,0.168192,0.928571,0.031306,0.1624,0.502166,0.004684,0.157231,0.084993,0.159131,0.180853,0.018243
2015,1575718892281,0.075431,0.086459,0.929138,0.073463,0.086853,1.02973,0.08071,0.087766,1.140739,0.075947,0.087385,1.242188,0.070038,0.086726,1.343461,0.07483,0.087064,1.484335,0.100301,0.091658,1.585503,0.07595,0.057279,1.422246,0.08451,-0.079873,1.403988,0.131334,-0.139473,1.122028,0.151969,-0.101188,0.885764,0.069472,0.116554,1.422327,0.049254,0.25274,1.406152,0.077529,0.295721,1.118748,0.11218,0.26346,0.883225,0.081856,0.004684,0.929484,0.05356,-0.002197,0.502361,0.02524,-0.008574,0.085317,0.18039,0.014511,0.020024,0.069012,0.168234,0.928567,0.031293,0.162415,0.502157,0.004683,0.157233,0.084984,0.159131,0.180857,0.018235
